match_id,city,stadium,venue_id,country
11673958,Bogota,Cancha Central,18338,Colombia
11673962,Bogota,Cancha Central,18338,Colombia
11673963,Bogota,Cancha Central,18338,Colombia
11673993,Braga,Court Central,21510,Portugal
11674000,Charleston,Center Court,32522,USA
11674008,Charleston,Center Court,32522,USA
11674011,Charleston,Center Court,32522,USA
11674026,Orleans,Central Arena,41846,France
11674032,Orleans,Central Arena,41846,France
11674034,Orleans,Central Arena,41846,France
11674074,Tokyo,Centre Court,18427,Japan
11674103,Astana,Center Court,41863,Kazakhstan
11674105,Astana,Center Court,41863,Kazakhstan
11674110,Astana,Center Court,41863,Kazakhstan
11674111,Astana,Center Court,41863,Kazakhstan
11674112,Astana,Center Court,41863,Kazakhstan
11674113,Astana,Center Court,41863,Kazakhstan
11674114,Astana,Center Court,41863,Kazakhstan
11675440,Beijing,Diamond Court,26769,China
11675443,Beijing,Diamond Court,26769,China
11675444,Beijing,Diamond Court,26769,China
11675445,Beijing,Diamond Court,26769,China
11675446,Beijing,Diamond Court,26769,China
11675447,Beijing,LOTUS COURT,2102,China
11675448,Beijing,LOTUS COURT,2102,China
11675449,Beijing,Diamond Court,26769,China
11675450,Beijing,LOTUS COURT,2102,China
11686269,Beijing,Court 2,26764,China
11686272,Beijing,Moon Court,18513,China
11686275,Beijing,Court 2,26764,China
11686276,Beijing,LOTUS COURT,2102,China
11686281,Beijing,Moon Court,18513,China
11696863,Forbach,Court 1,18542,France
11697105,Beijing,Diamond Court,26769,China
11697107,Beijing,Diamond Court,26769,China
11697108,Beijing,LOTUS COURT,2102,China
11697110,Beijing,Diamond Court,26769,China
11697112,Beijing,Brad Drewett Court,18630,China
11697113,Beijing,Diamond Court,26769,China
11697117,Beijing,Moon Court,18513,China
11697118,Beijing,Brad Drewett Court,18630,China
11697119,Beijing,Moon Court,18513,China
11697120,Beijing,Brad Drewett Court,18630,China
11697121,Beijing,LOTUS COURT,2102,China
11697122,Beijing,Diamond Court,26769,China
11697123,Beijing,Diamond Court,26769,China
11697124,Beijing,Brad Drewett Court,18630,China
11697126,Beijing,LOTUS COURT,2102,China
11697152,Hilton Head,Court 12,41872,USA
11697216,Forbach,Court 1,18542,France
11697223,Hilton Head,Court 12,41872,USA
11697237,Lujan,Court 2,37274,Argentina
11697262,Lujan,Court 2,37274,Argentina
11697278,Albuquerque,Court 3,41899,USA
11697304,Lujan,Court 4,37271,Argentina
11697306,Albuquerque,Court 3,41899,USA
11697309,Lujan,Court 4,37271,Argentina
11697316,Templeton,Stadium,18556,USA
11698042,Templeton,Stadium,18556,USA
11698055,Nanao,Court 4,41901,Japan
11698354,Cairns,Court 12,18710,Australia
11698355,Cairns,Court 10,18713,Australia
11698356,Cairns,Court 12,18710,Australia
11698357,Cairns,Court 10,18713,Australia
11698358,Cairns,Court 10,18713,Australia
11698359,Cairns,Court 2,18711,Australia
11698360,Cairns,Court 1,18712,Australia
11698361,Cairns,Court 4,18707,Australia
11698362,Cairns,Court 3,18709,Australia
11698363,Cairns,Court 1,18712,Australia
11698364,Cairns,Court 1,18712,Australia
11698365,Cairns,Court 4,18707,Australia
11698366,Cairns,Court 3,18709,Australia
11698367,Cairns,Court 3,18709,Australia
11698368,Cairns,Court 8,36645,Australia
11698369,Cairns,Court 4,18707,Australia
11698370,Cairns,Court 12,18710,Australia
11698371,Cairns,Court 8,36645,Australia
11698372,Cairns,Court 2,18711,Australia
11698373,Cairns,Court 11,18706,Australia
11698374,Cairns,Court 8,36645,Australia
11698375,Cairns,Court 11,18706,Australia
11698376,Cairns,Court 11,18706,Australia
11698377,Cairns,Court 2,18711,Australia
11698378,Cairns,Court 4,18707,Australia
11698379,Sharm El Sheikh,Court 3,17612,Egypt
11698395,Beijing,Moon Court,18513,China
11698397,Beijing,LOTUS COURT,2102,China
11698398,Beijing,Moon Court,18513,China
11698399,Beijing,LOTUS COURT,2102,China
11698400,Beijing,Brad Drewett Court,18630,China
11698401,Beijing,Brad Drewett Court,18630,China
11698402,Beijing,Moon Court,18513,China
11698403,Sharm El Sheikh,Court 3,17612,Egypt
11698476,Sabadell,Court 5,18633,Spain
11698477,Monastir,Court 2,23360,Tunisia
11698544,Pazardzhik,Court 3,30758,Bulgaria
11698550,Zlatibor,Court 2,18115,Serbia
11698683,Monastir,Court 1,23881,Tunisia
11698735,Santa Margherita Di Pula,Court 4,34380,Italy
11698749,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
11698757,Santarem,Court 1,23358,Portugal
11698861,Forbach,Court 1,18542,France
11698870,Pazardzhik,Court 1,30759,Bulgaria
11698871,Pazardzhik,Court 2,30760,Bulgaria
11698872,Pazardzhik,Court 5,39394,Bulgaria
11698873,Pazardzhik,Court 1,30759,Bulgaria
11698874,Pazardzhik,Court 1,30759,Bulgaria
11698875,Pazardzhik,Court 4,30757,Bulgaria
11698876,Pazardzhik,Court 2,30760,Bulgaria
11698877,Pazardzhik,Court 5,39394,Bulgaria
11698878,Pazardzhik,Court 3,30758,Bulgaria
11698879,Pazardzhik,Court 4,30757,Bulgaria
11698880,Pazardzhik,Court 1,30759,Bulgaria
11698881,Pazardzhik,Court 3,30758,Bulgaria
11698882,Pazardzhik,Court 4,30757,Bulgaria
11698883,Pazardzhik,Court 4,30757,Bulgaria
11698884,Pazardzhik,Court 5,39394,Bulgaria
11698885,Pazardzhik,Court 5,39394,Bulgaria
11698931,Santa Margherita Di Pula,Court 2,34383,Italy
11698932,Santa Margherita Di Pula,Court 2,34383,Italy
11698933,Santa Margherita Di Pula,Court 3,34379,Italy
11698934,Santa Margherita Di Pula,Court 3,34379,Italy
11698935,Santa Margherita Di Pula,Court 4,34380,Italy
11698936,Santa Margherita Di Pula,Court 8,34403,Italy
11698937,Santa Margherita Di Pula,Court 8,34403,Italy
11698938,Santa Margherita Di Pula,Court 5,34382,Italy
11698939,Santa Margherita Di Pula,Court 6,34381,Italy
11698940,Santa Margherita Di Pula,Court 7,34378,Italy
11698941,Santa Margherita Di Pula,Court 6,34381,Italy
11698942,Santa Margherita Di Pula,Court 1,34474,Italy
11698943,Santa Margherita Di Pula,Court 1,34474,Italy
11698944,Santa Margherita Di Pula,Court 5,34382,Italy
11698945,Santa Margherita Di Pula,Court 6,34381,Italy
11698946,Santa Margherita Di Pula,Court 7,34378,Italy
11698947,Sharm El Sheikh,Court 4,28799,Egypt
11698949,Sharm El Sheikh,Court 6,33930,Egypt
11698950,Sharm El Sheikh,Court 4,28799,Egypt
11698951,Sharm El Sheikh,Court 5,33931,Egypt
11698952,Sharm El Sheikh,Center Court,33963,Egypt
11698953,Sharm El Sheikh,Court 5,33931,Egypt
11698954,Sharm El Sheikh,Court 5,33931,Egypt
11698955,Sharm El Sheikh,Court 4,28799,Egypt
11698956,Sharm El Sheikh,Court 4,28799,Egypt
11698957,Sharm El Sheikh,Court 3,17612,Egypt
11698958,Sharm El Sheikh,Court 3,17612,Egypt
11698959,Sharm El Sheikh,Center Court,33963,Egypt
11698960,Sharm El Sheikh,Court 6,33930,Egypt
11698961,Sharm El Sheikh,Court 6,33930,Egypt
11698962,Sharm El Sheikh,Court 6,33930,Egypt
11698963,Sharm El Sheikh,Court 5,33931,Egypt
11698964,Sharm El Sheikh,Court 6,33930,Egypt
11698965,Sharm El Sheikh,Court 3,17612,Egypt
11698966,Sharm El Sheikh,Court 3,17612,Egypt
11698967,Sharm El Sheikh,Court 4,28799,Egypt
11698968,Sharm El Sheikh,Court 6,33930,Egypt
11698969,Sharm El Sheikh,Court 5,33931,Egypt
11698970,Sharm El Sheikh,Court 3,17612,Egypt
11698971,Sharm El Sheikh,Center Court,33963,Egypt
11698972,Sharm El Sheikh,Court 4,28799,Egypt
11698973,Sharm El Sheikh,Center Court,33963,Egypt
11698974,Sharm El Sheikh,Court 5,33931,Egypt
11698975,Sharm El Sheikh,Center Court,33963,Egypt
11698976,Sharm El Sheikh,Court 4,28799,Egypt
11698977,Sharm El Sheikh,Court 4,28799,Egypt
11698978,Sharm El Sheikh,Center Court,33963,Egypt
11698979,Sharm El Sheikh,Court 3,17612,Egypt
11698980,Sharm El Sheikh,Court 5,33931,Egypt
11698984,Bad Waltersdorf,Court 1,32759,Austria
11698985,Bad Waltersdorf,Court 6,32758,Austria
11698986,Bad Waltersdorf,Court 1,32759,Austria
11698987,Bad Waltersdorf,Court 5,32760,Austria
11698988,Bad Waltersdorf,Court 8,32765,Austria
11698989,Bad Waltersdorf,Court 3,32762,Austria
11698990,Bad Waltersdorf,Court 2,32764,Austria
11698991,Bad Waltersdorf,Court 6,32758,Austria
11698992,Bad Waltersdorf,Court 6,32758,Austria
11698993,Bad Waltersdorf,Court 8,32765,Austria
11698994,Bad Waltersdorf,Court 2,32764,Austria
11698995,Bad Waltersdorf,Court 6,32758,Austria
11698996,Bad Waltersdorf,Court 5,32760,Austria
11698997,Bad Waltersdorf,Court 4,32763,Austria
11698998,Bad Waltersdorf,Court 1,32759,Austria
11698999,Bad Waltersdorf,Court 3,32762,Austria
11699000,Bad Waltersdorf,Court 5,32760,Austria
11699001,Bad Waltersdorf,Court 5,32760,Austria
11699002,Bad Waltersdorf,Court 4,32763,Austria
11699003,Bad Waltersdorf,Court 5,32760,Austria
11699004,Bad Waltersdorf,Court 2,32764,Austria
11699005,Bad Waltersdorf,Court 8,32765,Austria
11699006,Bad Waltersdorf,Court 2,32764,Austria
11699007,Bad Waltersdorf,Court 3,32762,Austria
11699008,Bad Waltersdorf,Court 3,32762,Austria
11699009,Bad Waltersdorf,Court 3,32762,Austria
11699010,Bad Waltersdorf,Court 4,32763,Austria
11699011,Bad Waltersdorf,Court 2,32764,Austria
11699012,Bad Waltersdorf,Court 3,32762,Austria
11699013,Bad Waltersdorf,Court 6,32758,Austria
11699014,Bad Waltersdorf,Court 8,32765,Austria
11699015,Bad Waltersdorf,Court 6,32758,Austria
11699035,Sibenik,Court 5,31890,Croatia
11699036,Sibenik,Court 4,31893,Croatia
11699037,Sibenik,Court 6,31892,Croatia
11699038,Sibenik,Court 7,31888,Croatia
11699039,Sibenik,Court 8,31891,Croatia
11699040,Sibenik,Court 1,31889,Croatia
11699041,Sibenik,Court 2,32113,Croatia
11699042,Sibenik,Court 5,31890,Croatia
11699043,Sibenik,Court 6,31892,Croatia
11699044,Sibenik,Court 2,32113,Croatia
11699045,Sibenik,Court 8,31891,Croatia
11699046,Sibenik,Court 6,31892,Croatia
11699047,Sibenik,Court 1,31889,Croatia
11699048,Sibenik,Court 7,31888,Croatia
11699049,Sibenik,Court 5,31890,Croatia
11699050,Sibenik,Court 5,31890,Croatia
11699051,Sibenik,Court 6,31892,Croatia
11699052,Sibenik,Court 2,32113,Croatia
11699053,Sibenik,Court 1,31889,Croatia
11699054,Sibenik,Court 4,31893,Croatia
11699055,Sibenik,Court 7,31888,Croatia
11699056,Sibenik,Court 7,31888,Croatia
11699057,Sibenik,Court 4,31893,Croatia
11699058,Sibenik,Court 4,31893,Croatia
11699059,Sibenik,Court 1,31889,Croatia
11699062,Alicante,Pista 1,21045,Spain
11699063,Alicante,Central,41861,Spain
11699064,Alicante,Central,41861,Spain
11699065,Alicante,Central,41861,Spain
11699067,Alicante,Pista 1,21045,Spain
11699068,Alicante,Pista 1,21045,Spain
11699069,Alicante,Pista 1,21045,Spain
11699070,Alicante,Central,41861,Spain
11699071,Alicante,Pista 2,21044,Spain
11699072,Alicante,Pista 2,21044,Spain
11699073,Alicante,Pista 2,21044,Spain
11699074,Alicante,Pista 2,21044,Spain
11699083,Alicante,Central,41861,Spain
11699084,Alicante,Pista 2,21044,Spain
11699097,Lujan,Court 2,37274,Argentina
11699098,Saint Eloi,Court 3,36552,France
11699099,Saint Eloi,Court 1,36553,France
11699100,Saint Eloi,Court 1,36553,France
11699101,Saint Eloi,Court 3,36552,France
11699102,Saint Eloi,Court 3,36552,France
11699103,Saint Eloi,Court 1,36553,France
11699104,Saint Eloi,Court 1,36553,France
11699105,Saint Eloi,Court Central,36551,France
11699106,Saint Eloi,Court 3,36552,France
11699107,Saint Eloi,Court 1,36553,France
11699108,Saint Eloi,Court Central,36551,France
11699109,Saint Eloi,Court Central,36551,France
11699110,Saint Eloi,Court Central,36551,France
11699111,Saint Eloi,Court 1,36553,France
11699112,Saint Eloi,Court 3,36552,France
11699113,Saint Eloi,Court Central,36551,France
11699125,Zaragoza,Court 3,36545,Spain
11699126,Zaragoza,Court 2,36542,Spain
11699127,Zaragoza,Court 1,41902,Spain
11699128,Zaragoza,Court 2,36542,Spain
11699129,Zaragoza,Court 3,36545,Spain
11699130,Zaragoza,Court 4,36543,Spain
11699131,Zaragoza,Court 3,36545,Spain
11699132,Zaragoza,Court 1,41902,Spain
11699133,Zaragoza,Court 3,36545,Spain
11699134,Zaragoza,Court 2,36542,Spain
11699135,Zaragoza,Court 2,36542,Spain
11699136,Zaragoza,Court 2,36542,Spain
11699137,Baza,Court 5,36538,Spain
11699138,Baza,Court Occident (C),41905,Spain
11699139,Baza,Court 4,36537,Spain
11699140,Baza,Court 5,36538,Spain
11699141,Baza,Court 4,36537,Spain
11699142,Baza,Court 4,36537,Spain
11699143,Baza,Court 5,36538,Spain
11699144,Baza,Court 4,36537,Spain
11699145,Zaragoza,Court 1,41902,Spain
11699146,Baza,Court Occident (C),41905,Spain
11699147,Baza,Court Occident (C),41905,Spain
11699148,Zaragoza,Court 3,36545,Spain
11699149,Zaragoza,Court 1,41902,Spain
11699150,Zaragoza,Court 1,41902,Spain
11699151,Baza,Court Occident (C),41905,Spain
11699153,Reims,Court 4,36549,France
11699154,Reims,Court 1,36548,France
11699155,Reims,Court Central,41907,France
11699156,Reims,Court 4,36549,France
11699157,Reims,Court 1,36548,France
11699158,Reims,Court 1,36548,France
11699159,Reims,Court 4,36549,France
11699160,Reims,Court 1,36548,France
11699161,Reims,Court Central,41907,France
11699162,Reims,Court 4,36549,France
11699163,Reims,Court Central,41907,France
11699164,Reims,Court Central,41907,France
11699165,Reims,Court 1,36548,France
11699166,Reims,Court Central,41907,France
11699167,Reims,Court 4,36549,France
11699168,Reims,Court Central,41907,France
11699173,Lujan,Court 4,37271,Argentina
11699185,Lisbon,Court 7,18585,Portugal
11699186,Lisbon,Court 6,21002,Portugal
11699187,Lisbon,Court 5,17212,Portugal
11699188,Lisbon,Court 7,18585,Portugal
11699189,Lisbon,Court 5,17212,Portugal
11699190,Lisbon,Court 7,18585,Portugal
11699191,Lisbon,Court 7,18585,Portugal
11699192,Lisbon,Court 6,21002,Portugal
11699193,Lisbon,Court 7,18585,Portugal
11699194,Lisbon,Court 5,17212,Portugal
11699195,Lisbon,Court 5,17212,Portugal
11699196,Lisbon,Court 5,17212,Portugal
11699197,Lisbon,Court 6,21002,Portugal
11699198,Lisbon,Court 5,17212,Portugal
11699199,Lisbon,Court 6,21002,Portugal
11699200,Lisbon,Court 8,18583,Portugal
11699221,Lisbon,Court Belem,17211,Portugal
11699222,Lisbon,Court Lisboa,17210,Portugal
11699223,Monastir,Court 5,23362,Tunisia
11699224,Lisbon,Court Belem,17211,Portugal
11699225,Monastir,Center Court,23654,Tunisia
11699226,Lisbon,Court Lisboa,17210,Portugal
11699227,Lisbon,Court Belem,17211,Portugal
11699228,Lisbon,Estadio Cif,17209,Portugal
11699229,Monastir,Court 7,23891,Tunisia
11699230,Monastir,Court 2,23360,Tunisia
11699231,Lisbon,Court Lisboa,17210,Portugal
11699232,Monastir,Court 3,23363,Tunisia
11699233,Monastir,Court 8,24180,Tunisia
11699234,Monastir,Court 7,23891,Tunisia
11699235,Lisbon,Estadio Cif,17209,Portugal
11699236,Lisbon,Court Belem,17211,Portugal
11699237,Monastir,Court 5,23362,Tunisia
11699238,Monastir,Court 8,24180,Tunisia
11699239,Monastir,Court 7,23891,Tunisia
11699240,Monastir,Court 7,23891,Tunisia
11699241,Lisbon,Estadio Cif,17209,Portugal
11699242,Monastir,Court 4,23364,Tunisia
11699243,Monastir,Court 4,23364,Tunisia
11699244,Monastir,Court 5,23362,Tunisia
11699245,Monastir,Court 3,23363,Tunisia
11699246,Monastir,Court 5,23362,Tunisia
11699247,Monastir,Court 6,23890,Tunisia
11699248,Monastir,Court 6,23890,Tunisia
11699249,Monastir,Court 8,24180,Tunisia
11699250,Monastir,Court 7,23891,Tunisia
11699251,Monastir,Court 3,23363,Tunisia
11699252,Monastir,Court 6,23890,Tunisia
11699253,Monastir,Court 1,23881,Tunisia
11699254,Monastir,Court 6,23890,Tunisia
11699255,Monastir,Court 7,23891,Tunisia
11699256,Monastir,Court 4,23364,Tunisia
11699257,Monastir,Court 4,23364,Tunisia
11699258,Monastir,Center Court,23654,Tunisia
11699259,Monastir,Court 8,24180,Tunisia
11699260,Monastir,Court 6,23890,Tunisia
11699261,Monastir,Court 7,23891,Tunisia
11699262,Monastir,Center Court,23654,Tunisia
11699263,Monastir,Court 3,23363,Tunisia
11699264,Monastir,Court 1,23881,Tunisia
11699265,Monastir,Court 3,23363,Tunisia
11699266,Monastir,Court 8,24180,Tunisia
11699267,Monastir,Court 2,23360,Tunisia
11699268,Monastir,Center Court,23654,Tunisia
11699269,Monastir,Court 2,23360,Tunisia
11699270,Lisbon,Estadio Cif,17209,Portugal
11699271,Lisbon,Court Lisboa,17210,Portugal
11699272,Monastir,Court 4,23364,Tunisia
11699296,Hilton Head,Court 12,41872,USA
11699334,Lisbon,Court Lisboa,17210,Portugal
11699341,Mouilleron-Le-Captif,Court Annexe,19285,France
11699342,Mouilleron-Le-Captif,Court Central,19286,France
11699343,Mouilleron-Le-Captif,Court Annexe,19285,France
11699344,Mouilleron-Le-Captif,Court Central,19286,France
11699345,Mouilleron-Le-Captif,Court Annexe,19285,France
11699346,Mouilleron-Le-Captif,Court Central,19286,France
11699347,Mouilleron-Le-Captif,Court Annexe,19285,France
11699348,Mouilleron-Le-Captif,Court Annexe,19285,France
